Component_ID,Lot_ID,Component_Type,Temperature_C,Iddq_0h_uA,Iddq_24h_uA,Iddq_96h_uA,Iddq_168h_uA,Leakage_0h_uA,Leakage_24h_uA,Leakage_96h_uA,Leakage_168h_uA,Delay_0h_ns,Delay_24h_ns,Delay_96h_ns,Delay_168h_ns,Iddq_Max_Limit_uA,Leakage_Max_Limit_uA,Delay_Max_Limit_ns
IC01379,LOT19,MIXED_SIGNAL_IC,125.84,9.966,10.544,10.888,55.425,4.993,5.175,5.481,65.715,10.066,10.13,10.408,45.618,50.0,50.0,30.0
IC01593,LOT13,MICROCONTROLLER,123.32,11.119,11.492,11.92,12.15,5.531,5.637,5.725,6.017,10.767,10.863,10.902,10.965,50.0,50.0,30.0
IC00348,LOT08,MIXED_SIGNAL_IC,125.65,10.705,10.942,11.561,12.024,5.297,5.372,5.589,5.79,10.668,10.677,10.704,10.825,50.0,50.0,30.0
IC01530,LOT10,SRAM,123.64,10.194,10.692,10.958,11.222,4.868,5.0,5.2,5.508,10.0,10.058,10.147,10.201,50.0,50.0,30.0
IC01017,LOT17,CMOS_LOGIC,125.64,9.357,9.585,9.953,10.361,4.956,5.072,5.354,5.547,9.464,9.581,9.683,9.797,50.0,50.0,30.0
IC00399,LOT19,MICROCONTROLLER,123.0,9.875,10.176,10.504,10.733,4.885,5.047,5.318,5.489,9.701,9.658,9.765,9.99,50.0,50.0,30.0
IC01928,LOT08,CMOS_LOGIC,119.12,10.064,10.419,10.63,10.966,5.176,5.324,5.425,5.779,9.933,9.983,10.048,10.177,50.0,50.0,30.0
IC00164,LOT04,MIXED_SIGNAL_IC,127.1,9.783,9.806,10.075,10.505,5.13,5.34,5.597,5.841,9.901,9.994,10.111,10.19,50.0,50.0,30.0
IC01308,LOT08,SRAM,124.36,10.741,14.231,19.703,28.902,5.048,6.342,11.276,20.642,10.071,10.929,12.234,15.642,50.0,50.0,30.0
IC01539,LOT19,MIXED_SIGNAL_IC,121.78,9.924,10.373,10.598,10.779,4.941,5.099,5.323,5.604,9.477,9.565,9.63,9.727,50.0,50.0,30.0
IC00939,LOT19,MIXED_SIGNAL_IC,122.15,10.483,10.961,11.318,11.626,5.372,5.612,5.811,6.17,9.659,9.724,9.789,9.905,50.0,50.0,30.0
IC00883,LOT03,MICROCONTROLLER,125.12,9.934,10.237,10.718,11.02,5.256,5.449,5.644,5.887,10.276,10.287,10.382,10.608,50.0,50.0,30.0
IC01669,LOT09,MIXED_SIGNAL_IC,128.28,9.85,10.174,10.506,10.899,5.233,5.396,5.693,5.865,10.199,10.235,10.362,10.509,50.0,50.0,30.0
IC01536,LOT16,MIXED_SIGNAL_IC,123.95,9.553,9.775,9.887,10.182,4.869,4.999,5.254,5.418,9.788,9.879,10.013,10.113,50.0,50.0,30.0
IC00510,LOT10,MICROCONTROLLER,124.36,9.887,10.337,10.519,10.857,5.513,5.691,5.94,6.153,10.245,10.28,10.348,10.365,50.0,50.0,30.0
IC01908,LOT08,MICROCONTROLLER,125.99,10.221,12.885,21.062,29.412,5.554,7.537,12.907,20.364,10.435,11.416,14.277,18.112,50.0,50.0,30.0
IC00993,LOT13,MIXED_SIGNAL_IC,125.57,10.581,10.856,11.38,11.58,5.307,5.465,5.52,5.758,10.096,10.103,10.169,10.29,50.0,50.0,30.0
IC00006,LOT06,MICROCONTROLLER,123.42,9.704,10.114,10.403,10.64,4.505,4.686,4.893,5.22,9.225,9.247,9.314,9.394,50.0,50.0,30.0
IC00778,LOT18,MIXED_SIGNAL_IC,125.66,9.518,9.718,10.009,10.243,5.012,5.121,5.315,5.593,9.465,9.458,9.56,9.62,50.0,50.0,30.0
IC00165,LOT05,MICROCONTROLLER,126.35,9.343,9.698,9.985,10.231,4.641,4.749,5.08,5.18,9.188,9.257,9.389,9.32,50.0,50.0,30.0
IC01382,LOT02,SRAM,123.65,9.935,10.344,10.541,10.756,5.55,5.7,5.96,6.191,10.754,10.836,10.876,10.968,50.0,50.0,30.0
IC00171,LOT11,CMOS_LOGIC,125.35,9.197,11.382,18.595,29.803,4.456,6.512,10.818,18.636,9.116,9.932,12.341,15.8,50.0,50.0,30.0
IC01897,LOT17,CMOS_LOGIC,125.1,9.736,10.175,10.218,10.46,4.595,4.675,4.822,5.102,9.798,9.796,9.945,10.049,50.0,50.0,30.0
IC01119,LOT19,CMOS_LOGIC,125.49,9.81,10.114,10.402,10.997,4.909,5.085,5.239,5.358,9.296,9.304,9.364,9.44,50.0,50.0,30.0
IC00269,LOT09,MICROCONTROLLER,125.06,10.181,10.258,10.617,10.832,4.955,5.091,5.355,5.572,10.394,10.47,10.596,10.701,50.0,50.0,30.0
IC01383,LOT03,MIXED_SIGNAL_IC,124.86,10.759,11.168,11.525,11.766,5.326,5.488,5.794,6.07,10.302,10.319,10.354,10.38,50.0,50.0,30.0
IC00031,LOT11,MIXED_SIGNAL_IC,127.56,7.867,8.275,8.457,9.062,4.601,4.835,5.008,5.35,9.158,9.229,9.319,9.459,50.0,50.0,30.0
IC00159,LOT19,CMOS_LOGIC,121.59,9.571,9.774,10.114,10.284,4.429,4.622,4.94,5.147,10.306,10.279,10.426,10.573,50.0,50.0,30.0
IC01508,LOT08,MIXED_SIGNAL_IC,125.32,10.198,10.554,10.737,11.16,5.228,5.366,5.517,5.764,9.992,10.091,10.245,10.375,50.0,50.0,30.0
IC00053,LOT13,CMOS_LOGIC,126.1,11.44,11.631,11.773,12.174,5.284,5.428,5.789,6.134,10.246,10.306,10.442,10.517,50.0,50.0,30.0
IC00493,LOT13,CMOS_LOGIC,122.77,10.741,11.046,11.464,11.431,4.921,5.009,5.195,5.365,10.348,10.366,10.426,10.478,50.0,50.0,30.0
IC00455,LOT15,CMOS_LOGIC,122.79,9.198,9.477,9.605,9.981,4.905,5.046,5.293,5.499,9.272,9.296,9.346,9.466,50.0,50.0,30.0
IC01832,LOT12,MICROCONTROLLER,123.71,10.682,10.845,11.024,11.481,4.961,5.136,5.303,5.455,11.561,11.573,11.616,11.717,50.0,50.0,30.0
IC00382,LOT02,SRAM,124.15,10.201,10.556,11.239,68.115,5.082,5.228,5.493,52.821,10.574,10.712,10.939,37.471,50.0,50.0,30.0
IC01625,LOT05,MIXED_SIGNAL_IC,124.44,9.912,10.093,10.452,10.866,4.227,4.37,4.524,4.815,9.989,10.047,10.165,10.206,50.0,50.0,30.0
IC01368,LOT08,CMOS_LOGIC,123.23,9.81,10.001,10.187,10.669,5.297,5.439,5.784,5.895,10.537,10.566,10.584,10.624,50.0,50.0,30.0
IC01316,LOT16,MIXED_SIGNAL_IC,125.55,10.081,10.393,10.774,11.146,4.788,5.004,5.109,5.326,8.992,9.005,9.154,9.286,50.0,50.0,30.0
IC01515,LOT15,CMOS_LOGIC,125.98,9.377,9.614,10.034,10.343,4.867,4.926,5.079,5.445,9.462,9.476,9.577,9.642,50.0,50.0,30.0
IC01604,LOT04,SRAM,126.76,10.04,12.221,20.412,30.89,5.039,6.621,12.949,19.804,10.047,10.664,12.357,14.955,50.0,50.0,30.0
IC01325,LOT05,MICROCONTROLLER,122.19,8.746,9.113,9.4,9.865,4.343,4.441,4.52,4.833,9.521,9.501,9.576,9.689,50.0,50.0,30.0
IC01710,LOT10,MICROCONTROLLER,125.86,10.689,10.861,11.098,11.381,4.944,5.139,5.391,5.672,10.228,10.293,10.414,10.503,50.0,50.0,30.0
IC00222,LOT02,SRAM,124.65,10.742,11.172,11.475,11.637,5.263,5.37,5.498,5.568,11.187,11.287,11.354,11.437,50.0,50.0,30.0
IC01064,LOT04,CMOS_LOGIC,124.93,10.025,10.298,10.351,10.816,5.096,5.307,5.352,5.591,10.695,10.744,10.879,10.978,50.0,50.0,30.0
IC00962,LOT02,CMOS_LOGIC,124.83,11.119,11.34,11.686,12.053,5.743,5.895,6.113,6.316,10.846,10.863,10.973,11.062,50.0,50.0,30.0
IC00889,LOT09,SRAM,121.78,10.373,10.825,11.16,11.495,4.583,4.79,5.061,5.371,9.733,9.774,9.819,9.886,50.0,50.0,30.0
IC01849,LOT09,MIXED_SIGNAL_IC,126.46,9.33,9.605,9.987,10.513,5.099,5.205,5.391,5.544,10.132,10.182,10.249,10.36,50.0,50.0,30.0
IC00273,LOT13,SRAM,127.6,11.271,11.504,11.863,12.29,5.203,5.355,5.687,5.94,10.41,10.511,10.574,10.791,50.0,50.0,30.0
IC00672,LOT12,SRAM,127.05,11.235,11.38,11.684,12.024,4.704,4.876,5.055,5.288,10.524,10.573,10.637,10.776,50.0,50.0,30.0
IC01750,LOT10,MIXED_SIGNAL_IC,122.88,10.346,10.635,10.922,10.989,5.263,5.317,5.58,5.777,10.01,10.035,10.122,10.203,50.0,50.0,30.0
IC01803,LOT03,MICROCONTROLLER,125.55,10.216,10.561,10.838,11.023,5.604,5.742,5.91,6.238,11.039,11.101,11.142,11.2,50.0,50.0,30.0
IC01271,LOT11,SRAM,127.12,9.603,9.997,10.378,10.595,4.591,4.699,4.761,4.974,8.894,8.907,8.927,9.008,50.0,50.0,30.0
IC01390,LOT10,MICROCONTROLLER,126.55,10.96,11.405,11.719,11.895,5.439,5.581,5.665,5.949,10.744,10.787,10.865,11.025,50.0,50.0,30.0
IC01414,LOT14,MICROCONTROLLER,125.17,9.821,10.226,10.438,10.772,4.923,5.018,5.291,5.564,9.53,9.659,9.835,9.973,50.0,50.0,30.0
IC01552,LOT12,SRAM,128.82,11.4,13.548,21.914,34.719,5.072,6.681,10.468,15.564,11.013,11.679,14.139,18.418,50.0,50.0,30.0
IC00832,LOT12,MIXED_SIGNAL_IC,124.25,10.971,11.201,11.636,11.861,5.24,5.396,5.543,5.86,10.389,10.417,10.493,10.509,50.0,50.0,30.0
IC00755,LOT15,CMOS_LOGIC,122.12,9.54,9.867,9.846,10.135,4.207,4.418,4.709,4.896,9.181,9.285,9.414,9.406,50.0,50.0,30.0
IC01993,LOT13,CMOS_LOGIC,129.04,11.598,11.931,12.229,12.718,5.133,5.398,5.488,5.725,9.928,9.984,10.018,10.111,50.0,50.0,30.0
IC00201,LOT01,MICROCONTROLLER,119.91,10.458,10.662,10.952,11.215,5.242,5.407,5.557,5.942,9.797,9.884,9.965,10.152,50.0,50.0,30.0
IC00606,LOT06,MICROCONTROLLER,126.9,9.583,9.867,10.21,10.376,4.523,4.676,4.766,5.043,9.611,9.688,9.703,9.736,50.0,50.0,30.0
IC01763,LOT03,MIXED_SIGNAL_IC,121.47,9.949,10.236,10.519,10.742,5.447,5.549,5.773,5.961,10.694,10.77,10.834,10.986,50.0,50.0,30.0
IC00313,LOT13,SRAM,121.21,10.369,10.626,11.192,11.739,5.113,5.281,5.51,5.741,10.3,10.308,10.381,10.52,50.0,50.0,30.0
IC01175,LOT15,SRAM,121.94,9.775,12.542,20.205,29.11,4.528,6.215,10.991,16.515,9.464,9.988,12.538,15.875,50.0,50.0,30.0
IC01165,LOT05,CMOS_LOGIC,126.83,9.78,9.947,10.476,10.462,4.773,4.857,5.208,5.655,9.144,9.262,9.364,9.432,50.0,50.0,30.0
IC00822,LOT02,CMOS_LOGIC,124.15,10.879,11.454,11.608,12.092,5.479,5.657,5.921,6.198,10.776,10.901,10.968,11.093,50.0,50.0,30.0
IC00277,LOT17,CMOS_LOGIC,125.35,9.283,9.375,9.571,9.76,4.615,4.829,4.939,5.223,9.972,10.022,10.095,10.278,50.0,50.0,30.0
IC00344,LOT04,MIXED_SIGNAL_IC,126.47,10.565,10.769,11.056,11.326,4.62,4.849,4.988,5.288,10.453,10.492,10.566,10.657,50.0,50.0,30.0
IC00969,LOT09,SRAM,124.55,9.698,10.124,10.279,10.474,4.988,5.095,5.253,5.477,10.087,10.15,10.199,10.305,50.0,50.0,30.0
IC01337,LOT17,SRAM,124.43,9.716,10.189,10.631,10.992,4.766,4.924,5.058,5.271,8.958,9.052,9.156,9.278,50.0,50.0,30.0
IC00631,LOT11,CMOS_LOGIC,125.27,8.939,11.639,18.96,28.087,4.621,5.719,10.909,17.994,9.143,10.078,11.657,14.504,50.0,50.0,30.0
IC00416,LOT16,CMOS_LOGIC,130.41,9.598,9.804,10.086,10.272,4.92,5.086,5.29,5.474,9.927,10.039,10.051,10.144,50.0,50.0,30.0
IC00723,LOT03,MICROCONTROLLER,121.78,10.321,10.561,11.026,11.164,5.12,5.228,5.362,5.543,9.802,9.834,9.932,10.098,50.0,50.0,30.0
IC01904,LOT04,SRAM,123.82,10.526,10.892,11.208,56.354,5.017,5.333,5.513,64.314,10.005,10.166,10.445,39.686,50.0,50.0,30.0
IC00476,LOT16,CMOS_LOGIC,123.48,9.269,9.531,9.589,9.893,4.559,4.702,4.792,4.995,9.48,9.554,9.589,9.627,50.0,50.0,30.0
IC01209,LOT09,MIXED_SIGNAL_IC,125.75,9.845,10.403,10.723,10.881,5.167,5.391,5.625,5.878,10.481,10.573,10.748,10.839,50.0,50.0,30.0
IC01682,LOT02,CMOS_LOGIC,123.55,10.303,10.544,10.818,11.068,5.102,5.158,5.286,5.51,10.585,10.617,10.641,10.775,50.0,50.0,30.0
IC00438,LOT18,MIXED_SIGNAL_IC,123.26,10.447,10.722,10.849,11.247,5.105,5.204,5.443,5.666,9.665,9.711,9.797,9.858,50.0,50.0,30.0
IC00729,LOT09,MIXED_SIGNAL_IC,125.43,10.829,11.071,11.391,11.42,4.956,5.116,5.344,5.701,10.409,10.496,10.569,10.683,50.0,50.0,30.0
IC01197,LOT17,MIXED_SIGNAL_IC,125.93,9.576,9.869,10.231,10.61,4.891,4.998,5.243,5.539,10.201,10.251,10.338,10.435,50.0,50.0,30.0
IC00533,LOT13,SRAM,126.56,10.731,11.078,11.39,11.536,5.506,5.714,6.058,6.301,10.403,10.446,10.518,10.649,50.0,50.0,30.0
IC00060,LOT20,MIXED_SIGNAL_IC,124.11,10.261,10.525,10.679,10.858,4.606,4.693,4.757,4.911,9.899,9.906,10.014,10.105,50.0,50.0,30.0
IC01784,LOT04,SRAM,122.77,10.393,10.524,10.568,10.783,4.957,5.16,5.321,5.603,9.833,9.859,9.965,10.047,50.0,50.0,30.0
IC00504,LOT04,MICROCONTROLLER,126.0,9.748,10.019,10.372,10.626,4.921,4.956,5.226,5.452,10.285,10.327,10.425,10.542,50.0,50.0,30.0
IC00528,LOT08,MICROCONTROLLER,124.53,9.955,10.262,10.464,10.535,5.15,5.328,5.666,5.953,10.643,10.718,10.821,10.94,50.0,50.0,30.0
IC00198,LOT18,CMOS_LOGIC,121.6,9.697,9.938,10.146,10.354,4.654,4.726,4.894,5.158,9.542,9.616,9.673,9.753,50.0,50.0,30.0
IC00584,LOT04,CMOS_LOGIC,123.18,10.358,10.652,10.712,11.059,4.917,5.108,5.25,5.513,9.561,9.576,9.676,9.742,50.0,50.0,30.0
IC00400,LOT20,SRAM,123.89,9.513,9.772,9.916,10.356,4.866,5.035,5.134,5.439,9.792,9.862,9.929,10.11,50.0,50.0,30.0
IC01200,LOT20,CMOS_LOGIC,125.42,8.845,9.03,9.039,9.273,5.0,5.241,5.459,5.613,9.244,9.335,9.464,9.57,50.0,50.0,30.0
IC01453,LOT13,MIXED_SIGNAL_IC,124.71,10.611,10.851,10.952,11.388,5.46,5.621,5.857,6.109,11.319,11.393,11.487,11.561,50.0,50.0,30.0
IC00552,LOT12,MICROCONTROLLER,124.02,11.207,11.609,11.966,12.133,4.978,5.088,5.358,5.547,10.877,10.915,11.058,11.155,50.0,50.0,30.0
IC00153,LOT13,MICROCONTROLLER,125.62,10.629,11.031,11.494,12.049,5.093,5.269,5.527,5.936,10.542,10.566,10.671,10.809,50.0,50.0,30.0
IC01073,LOT13,MICROCONTROLLER,124.11,10.531,10.933,11.215,11.432,5.108,5.228,5.429,5.684,10.165,10.223,10.232,10.338,50.0,50.0,30.0
IC00649,LOT09,CMOS_LOGIC,122.62,10.426,10.858,11.071,11.406,4.704,4.864,5.155,5.367,9.956,9.951,9.992,10.102,50.0,50.0,30.0
IC00747,LOT07,SRAM,127.37,9.228,9.538,9.785,10.107,4.549,4.694,4.862,5.071,8.726,8.756,8.797,8.855,50.0,50.0,30.0
IC01056,LOT16,SRAM,126.03,9.249,9.592,9.784,10.002,4.339,4.447,4.69,4.813,9.688,9.722,9.741,9.879,50.0,50.0,30.0
IC01173,LOT13,CMOS_LOGIC,121.85,10.37,10.723,11.052,11.48,4.952,5.058,5.193,5.361,10.291,10.333,10.422,10.54,50.0,50.0,30.0
IC01555,LOT15,MIXED_SIGNAL_IC,122.11,9.908,10.214,10.463,10.559,4.11,4.23,4.497,4.654,8.978,9.071,9.123,9.129,50.0,50.0,30.0
IC01077,LOT17,SRAM,125.31,8.888,9.217,9.543,9.828,4.77,5.083,5.425,5.553,9.847,9.923,10.042,10.036,50.0,50.0,30.0
IC00439,LOT19,MICROCONTROLLER,125.42,10.564,13.242,20.122,32.411,4.989,6.437,12.67,18.819,10.059,11.083,13.418,17.292,50.0,50.0,30.0
IC00088,LOT08,CMOS_LOGIC,128.79,11.022,11.297,11.477,11.656,5.811,5.922,6.036,6.289,10.604,10.623,10.712,10.735,50.0,50.0,30.0
IC01714,LOT14,MIXED_SIGNAL_IC,129.36,9.233,9.513,9.966,10.408,4.693,4.808,5.069,5.316,9.458,9.522,9.563,9.596,50.0,50.0,30.0
IC01188,LOT08,MICROCONTROLLER,125.1,10.789,11.228,11.501,11.619,5.347,5.604,5.843,6.044,11.008,11.075,11.094,11.247,50.0,50.0,30.0
IC00814,LOT14,SRAM,124.65,8.977,9.504,10.065,69.867,4.504,4.686,5.039,72.87,9.586,9.566,9.744,41.178,50.0,50.0,30.0
IC01582,LOT02,SRAM,127.4,10.264,12.801,21.537,32.947,4.868,6.866,11.358,20.583,11.305,12.305,14.014,17.513,50.0,50.0,30.0
IC00849,LOT09,MIXED_SIGNAL_IC,125.06,10.647,13.07,20.289,28.918,5.135,6.806,11.8,19.829,10.443,11.199,12.537,16.175,50.0,50.0,30.0
IC00869,LOT09,MIXED_SIGNAL_IC,126.79,10.477,11.108,11.325,11.545,5.181,5.296,5.496,5.746,10.201,10.291,10.401,10.539,50.0,50.0,30.0
IC01071,LOT11,SRAM,126.02,8.97,12.942,18.002,28.544,4.616,6.39,10.311,18.626,9.235,10.397,12.407,16.281,50.0,50.0,30.0
IC01645,LOT05,MIXED_SIGNAL_IC,124.31,9.369,9.454,9.649,10.129,4.367,4.484,4.604,4.815,9.294,9.407,9.469,9.491,50.0,50.0,30.0
IC00375,LOT15,MICROCONTROLLER,127.51,9.243,9.534,9.693,9.82,4.842,5.031,5.349,5.528,10.027,10.097,10.122,10.194,50.0,50.0,30.0
IC01293,LOT13,CMOS_LOGIC,123.76,10.788,11.004,11.27,11.597,5.366,5.502,5.681,5.833,10.151,10.275,10.381,10.481,50.0,50.0,30.0
IC00144,LOT04,CMOS_LOGIC,125.52,10.802,11.124,11.59,12.039,4.756,4.919,5.085,5.399,9.103,9.114,9.213,9.338,50.0,50.0,30.0
IC00891,LOT11,MICROCONTROLLER,127.71,10.025,10.225,10.323,10.501,4.641,4.806,4.881,5.106,10.088,10.255,10.275,10.348,50.0,50.0,30.0
IC01120,LOT20,SRAM,123.1,9.624,9.87,10.235,10.585,4.628,4.759,4.94,5.246,9.515,9.605,9.612,9.703,50.0,50.0,30.0
IC00546,LOT06,MICROCONTROLLER,122.9,9.833,10.233,10.406,10.597,4.842,4.962,5.116,5.374,10.17,10.159,10.265,10.369,50.0,50.0,30.0
IC00563,LOT03,MICROCONTROLLER,124.74,10.598,10.961,11.327,11.609,4.993,5.092,5.469,5.632,10.436,10.488,10.599,10.757,50.0,50.0,30.0
IC00346,LOT06,MICROCONTROLLER,125.21,9.112,9.239,9.518,10.01,4.619,4.757,4.895,5.16,9.181,9.255,9.328,9.499,50.0,50.0,30.0
IC01739,LOT19,MIXED_SIGNAL_IC,125.62,10.204,10.422,10.55,10.853,4.832,4.949,5.227,5.292,9.597,9.694,9.747,9.927,50.0,50.0,30.0
IC00063,LOT03,CMOS_LOGIC,122.01,9.917,10.232,10.51,10.694,5.106,5.205,5.408,5.607,10.18,10.266,10.348,10.541,50.0,50.0,30.0
IC01226,LOT06,SRAM,125.18,9.292,9.526,9.754,9.931,4.775,4.855,5.201,5.476,9.176,9.193,9.306,9.347,50.0,50.0,30.0
IC01563,LOT03,SRAM,124.26,11.208,11.425,11.668,11.912,5.057,5.205,5.5,5.893,9.91,9.975,10.109,10.189,50.0,50.0,30.0
IC01540,LOT20,MICROCONTROLLER,121.9,9.395,9.67,9.914,10.195,4.736,4.912,5.169,5.404,9.665,9.819,9.941,10.04,50.0,50.0,30.0
IC00030,LOT10,CMOS_LOGIC,120.1,9.719,9.965,10.29,10.462,5.066,5.208,5.416,5.707,10.147,10.225,10.26,10.284,50.0,50.0,30.0
IC00789,LOT09,SRAM,125.24,10.271,10.786,11.244,11.534,4.901,5.087,5.335,5.726,10.065,10.129,10.16,10.236,50.0,50.0,30.0
IC01111,LOT11,MICROCONTROLLER,120.03,8.445,8.609,8.865,9.064,4.652,4.763,4.945,5.329,8.941,9.059,9.06,9.156,50.0,50.0,30.0
IC00660,LOT20,MIXED_SIGNAL_IC,127.43,9.994,10.355,10.713,10.964,5.116,5.233,5.384,5.552,9.116,9.192,9.364,9.436,50.0,50.0,30.0
IC00813,LOT13,CMOS_LOGIC,127.05,10.504,10.912,11.458,60.64,5.25,5.433,5.905,65.874,11.46,11.485,11.64,47.785,50.0,50.0,30.0
IC00823,LOT03,MIXED_SIGNAL_IC,126.59,9.637,9.888,10.119,10.261,5.173,5.388,5.628,5.794,10.03,10.009,10.117,10.135,50.0,50.0,30.0
IC00372,LOT12,MICROCONTROLLER,126.61,10.641,13.583,18.779,27.735,5.468,7.654,12.243,18.751,10.473,11.242,13.98,17.852,50.0,50.0,30.0
IC00532,LOT12,MIXED_SIGNAL_IC,124.14,10.71,10.906,11.094,11.223,5.495,5.615,5.717,5.98,10.052,10.053,10.135,10.293,50.0,50.0,30.0
IC00202,LOT02,MIXED_SIGNAL_IC,125.15,10.132,10.536,10.679,11.027,5.541,5.613,5.834,6.011,9.94,9.962,10.059,10.138,50.0,50.0,30.0
IC00075,LOT15,MICROCONTROLLER,127.76,9.39,9.843,10.121,10.142,5.131,5.239,5.429,5.607,10.153,10.198,10.342,10.36,50.0,50.0,30.0
IC00242,LOT02,CMOS_LOGIC,124.02,9.816,10.072,10.188,10.445,5.737,5.837,6.084,6.341,10.367,10.39,10.51,10.623,50.0,50.0,30.0
IC00985,LOT05,MIXED_SIGNAL_IC,127.38,9.193,9.38,9.401,9.611,4.77,4.908,5.133,5.486,9.9,9.962,10.133,10.239,50.0,50.0,30.0
IC00092,LOT12,MIXED_SIGNAL_IC,127.8,10.912,14.649,22.872,34.822,5.409,6.866,10.15,17.164,11.222,11.844,14.295,17.16,50.0,50.0,30.0
IC01789,LOT09,SRAM,125.45,9.377,9.553,9.63,10.177,5.145,5.29,5.539,5.8,10.428,10.508,10.597,10.657,50.0,50.0,30.0
IC01866,LOT06,MIXED_SIGNAL_IC,129.6,9.311,9.592,9.843,10.148,4.694,4.757,4.981,5.153,9.011,9.051,9.101,9.259,50.0,50.0,30.0
IC01355,LOT15,CMOS_LOGIC,126.01,9.914,10.093,10.12,10.323,4.814,5.003,5.286,5.511,9.489,9.502,9.589,9.724,50.0,50.0,30.0
IC00347,LOT07,MIXED_SIGNAL_IC,125.64,9.116,9.299,9.611,9.916,4.641,4.898,5.026,5.326,9.195,9.242,9.406,9.533,50.0,50.0,30.0
IC01521,LOT01,MICROCONTROLLER,124.78,9.861,9.925,10.112,10.406,5.046,5.195,5.334,5.477,10.152,10.184,10.29,10.418,50.0,50.0,30.0
IC01264,LOT04,MICROCONTROLLER,123.87,10.546,10.914,11.046,11.5,5.518,5.641,5.846,6.078,9.859,9.929,10.016,10.162,50.0,50.0,30.0
IC01469,LOT09,MICROCONTROLLER,124.26,9.884,10.19,10.449,10.712,5.105,5.259,5.428,5.664,10.409,10.441,10.514,10.598,50.0,50.0,30.0
IC01492,LOT12,SRAM,122.04,10.7,10.809,11.142,11.337,5.258,5.433,5.689,6.044,10.648,10.741,10.888,11.029,50.0,50.0,30.0
IC00430,LOT10,MICROCONTROLLER,122.0,10.734,11.009,11.359,11.621,4.864,4.919,5.199,5.382,10.013,10.061,10.159,10.269,50.0,50.0,30.0
IC01057,LOT17,CMOS_LOGIC,124.33,9.409,9.784,10.165,10.447,4.568,4.691,4.824,5.179,9.868,9.909,9.96,10.097,50.0,50.0,30.0
IC00192,LOT12,MICROCONTROLLER,125.01,10.873,11.176,11.384,11.871,5.657,5.758,6.065,6.355,10.807,10.801,10.896,10.891,50.0,50.0,30.0
IC00111,LOT11,SRAM,127.32,9.218,9.534,9.725,9.791,4.7,4.897,5.172,5.364,9.263,9.307,9.378,9.495,50.0,50.0,30.0
IC00203,LOT03,SRAM,127.76,11.37,11.633,11.972,12.334,5.57,5.817,6.191,6.622,10.28,10.389,10.49,10.658,50.0,50.0,30.0
IC01299,LOT19,SRAM,121.44,10.011,10.207,10.466,10.658,5.168,5.188,5.386,5.663,9.499,9.535,9.62,9.772,50.0,50.0,30.0
IC01384,LOT04,CMOS_LOGIC,124.78,10.583,10.9,11.202,11.533,5.769,5.813,6.115,6.472,10.903,10.904,10.997,11.093,50.0,50.0,30.0
IC01446,LOT06,SRAM,125.17,9.344,9.485,9.686,9.858,4.464,4.605,4.82,4.932,9.055,9.074,9.131,9.201,50.0,50.0,30.0
IC00628,LOT08,SRAM,125.09,10.885,11.337,11.527,11.863,5.195,5.355,5.658,5.985,10.347,10.345,10.377,10.506,50.0,50.0,30.0
